Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
CHKP,Common Stock,Check Point Software Technologies Ltd,"Check Point Software Technologies Ltd. develops, markets and supports a range of IT security products and services globally. The company is headquartered in Tel Aviv, Israel.",1015922,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"5 HA' SOLELIM STREET, TEL AVIV, ISRAEL, IL",December,2021-12-31,16257667000,929700000,20.87,2.963,25.24,0,0,6.08,16.28,0.376,0.419,0.0966,0.243,2166800000,1917200000,6.08,0.022,0.063,139.45,20.87,18.9,7.5,5.4,7.33,16.94,0.615,149.62,107.85,138.97,124.39,128114000,None,None
CIH,Common Stock,China Index Holdings Limited,"China Index Holdings Limited operates a real estate information and analysis services platform in China. The company is headquartered in Beijing, China.",1749797,NASDAQ,USD,China,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"BUILDING A, BEIJING FANGXIANG, NO.20 GUOGONGZHUANG MIDDLE STREET, BEIJING, CHINA",December,2021-12-31,78679000,307971000,1.851,None,0.105,0,0,0.47,6.88,0.45,0.494,0.31,1.708,620953000,510835000,0.47,-0.014,-0.045,None,1.851,-,0.127,58.2,0.0552,0.111,1.481,2.2,0.73,0.98,1.24,90424000,2015-03-31,None
CISO,Common Stock,Cerberus Cyber Sentinel Corporation Common Stock,Cerberus Cyber Sentinel Corporation is a security services company in the United States. ,1777319,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-MANAGEMENT CONSULTING SERVICES,"7333 E. DOUBLETREE, SUITE D270, SCOTTSDALE, AZ, US",December,2022-03-31,467582000,None,None,None,0.195,0,0,-0.061,0.101,-0.602,-0.666,-0.27,-0.49,11867100,2875300,-0.061,0,0.864,None,-,-,39.4,16.81,28.38,-,1.856,30,2.25,5.01,4.726,136720000,None,None
CLIR,Common Stock,ClearSign Technologies Corporation,"ClearSign Technologies Corporation designs and develops products and technologies to improve operational performance, energy efficiency, emission reduction, safety, and overall profitability of industrial and commercial systems in the United States and the People's Republic of China. The company is headquartered in Seattle, Washington.",1434524,NASDAQ,USD,USA,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL","12870 INTERURBAN AVENUE SOUTH, SEATTLE, WA, US",December,2021-12-31,40521700,-8775000,None,0,0.298,0,0,-0.276,0.018,0,-15.87,-0.457,-0.836,553000,-279000,-0.276,0,0,6,-,-,73.28,4.987,56.42,-,0.947,5.38,1,1.372,1.946,32160100,None,None
CLPS,Common Stock,CLPS Incorporation,"CLPS Incorporation provides information technology services, consulting and solutions to institutions operating in the banking, insurance and financial sectors in the People's Republic of China, the United States, Europe, Australia, Southeast Asia and Hong Kong SAR. The company is headquartered in Kwun Tong, Hong Kong.",1724542,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"C/O UNIT 1102, 11TH FLOOR, MILLENNIUM CI, 370 KWUN TONG ROAD, KWUN TONG, KOWLOON, HK",June,2021-12-31,38294600,11751000,4.208,None,3.261,0,0,0.423,7.41,0.0572,0.0768,0.0823,0.164,143665000,40170900,0.423,0.025,0.302,None,4.208,-,0.267,0.624,0.182,2.343,2.815,5.25,1.62,2.025,2.643,21513800,None,None
CLRO,Common Stock,ClearOne Inc,"ClearOne, Inc. designs, develops, and sells conferencing, collaboration, and network transmission solutions for voice and visual communications in the United States and internationally. The company is headquartered in Salt Lake City, Utah.",840715,NASDAQ,USD,USA,MANUFACTURING,TELEPHONE & TELEGRAPH APPARATUS,"5225 WILEY POST WAY, SUITE 500, SALT LAKE CITY, UT, US",December,2022-03-31,16741200,306000,104.67,4.74,2.4,0,0,0.007,1.601,0.0046,-0.147,-0.0442,0.0028,30331000,14076000,0.007,0,-0.169,4.05,104.67,-,0.552,0.361,0.752,-,1.292,3.28,0.713,0.865,1.632,22410100,2018-03-21,2018-03-06
CLSK,Common Stock,CleanSpark Inc,"CleanSpark, Inc. provides energy software and control technology solutions worldwide. The company is headquartered in Woods Cross, Utah.",827876,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"PO BOX 1593, MOAB, UT, US",September,2021-12-31,281575000,19960600,None,0,9.5,0,0,-0.022,2.603,-0.0018,0.0129,0.0029,-0.0007,88423000,35473400,-0.022,0,17.27,23,-,5.96,3.184,0.833,3.343,15.66,3.481,23.6,5.47,10.48,12.58,41469100,2019-12-11,2021-06-21
CLVT,Common Stock,Clarivate Plc,"Clarivate Plc, an information services and analytics company, provides analysis and structured information for the discovery, protection and commercialization of scientific research, innovations and brands. The company is headquartered in London, the United Kingdom.",1764046,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1500 SPRING GARDEN STREET, PHILADELPHIA, PA, US",December,2021-12-31,10704800000,599912000,None,6.16,15.43,0,0,-0.614,2.975,-0.144,0.0331,0.0022,-0.0258,1876894000,1250790000,-0.614,0,0.231,18.71,-,18.59,5.7,1.025,9.25,32.64,0.835,34.79,11.71,15.68,20.76,683576000,2018-03-15,None
CMAX,Common Stock,CareMax Inc,"CareMax Medical Group, LLC is a healthcare organization offering medical services through physicians and healthcare professionals. The company is headquartered in Miami, Florida.",1813914,NASDAQ,USD,USA,LIFE SCIENCES,SERVICES-NURSING & PERSONAL CARE FACILITIES,"1000 NW 57 COURT, SUITE 400, MIAMI, FL, UNITED STATES",December,2021-12-31,608081000,9265300,None,None,5.78,0,0,-0.13,5.62,-0.0226,-0.0923,-0.0493,-0.0261,295762000,31449000,-0.13,0,3.212,12.2,-,-,2.056,1.203,2.376,62.79,None,15.91,5.29,7.24,7.96,87368000,None,None
CMAXW,Common Stock,CareMax Inc,None,1813914,NASDAQ,USD,USA,LIFE SCIENCES,SERVICES-NURSING & PERSONAL CARE FACILITIES,"1000 NW 57 COURT, SUITE 400, MIAMI, FL, UNITED STATES",December,2021-12-31,None,10800900,None,None,None,None,None,None,0,0.0631,0.0772,0.185,1.297,120425000,0,0,0,0.281,None,-,-,-,-,-,-,None,7.15,0.835,0,0,0,None,None
CMBM,Common Stock,Cambium Networks Corporation,"Cambium Networks Corporation provides wireless broadband network infrastructure products and solutions for network operators. The company is headquartered in Rolling Meadows, Illinois.",1738177,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"190 ELGIN AVENUE, GEORGE TOWN, GRAND CAYMAN, KY",December,2021-12-31,408577000,41896000,11.66,0.594,4.194,0,0,1.31,12.71,0.111,0.108,0.104,0.426,335854000,160796000,1.31,-0.859,-0.049,40.5,11.66,11.88,1.216,3.653,1.143,8.9,0.284,61.54,14.81,22.66,29.23,26739300,None,None
CMCM,Common Stock,Cheetah Mobile Inc,"Cheetah Mobile Inc. is an Internet company in the People's Republic of China, the United States, and internationally. The company is headquartered in Beijing, the People's Republic of China.",1597835,NYSE,USD,China,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"12/F, FOSUN INTERNATIONAL CENTER TOWER, 237 CHAOYANG NORTH RD, CHAOYANG DISTRICT, BEIJING, CHINA",December,2021-09-30,119686000,None,9.24,18.25,26.68,0,0,0.092,6.09,0.111,-0.259,-0.0249,0.0255,871502000,1077267000,0.092,-0.995,-0.463,1.52,9.24,12.0,0.137,0.214,0.0041,0.295,1.215,2.9,0.652,1.048,1.486,140807000,2020-07-09,2020-06-22
CMTL,Common Stock,Comtech Telecommunications Corp,"Comtech Telecommunications Corp. The company is headquartered in Melville, New York.",23197,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"68 SOUTH SERVICE ROAD, SUITE 230, MELVILLE, NY, US",July,2022-01-31,350013000,23499000,None,3.2,17.64,0.4,0.0281,-1.013,19.9,-0.0377,-0.013,-0.0044,-0.0382,522325000,215004000,-1.013,5.87,-0.254,21.63,-,-,0.67,0.806,1.189,51.53,1.547,27.39,13.15,16.82,22.3,26516100,2022-05-20,2022-04-19
CNDT,Common Stock,Conduent Incorporated,"Conduent Incorporated provides business process services with transaction-intensive processing, analysis, and automation capabilities in the United States, Europe, and internationally. The company is headquartered in Florham Park, New Jersey.",1677703,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","100 CAMPUS DRIVE, FLORHAM PARK, NJ, US",December,2021-12-31,1211910000,383000000,None,4.44,5.26,0,0,-0.18,19.46,-0.0068,0.023,0.0143,-0.0215,4140000000,1002000000,-0.18,0,-0.007,6.5,-,-,0.293,1.023,0.617,6.68,1.877,8.5,4.12,4.951,5.85,215604000,None,None
